,제목,장르,작가,연재 시작일,마지막 연재일,연재수,댓글수,추천수,평점,Site
5249,무한의마도사,판타지,오렌,2015-07-09,2015-07-09,8,11,19,6.4,NaverSeries
5250,천방지축아가씨 경호하기,로맨스,주황연,2015-02-16,2015-03-02,58,12,58,9.0,NaverSeries
5251,더 리턴 : 마도공학자,판타지,동주,2017-01-26,2017-07-12,321,119,14,8.1,NaverSeries
5252,마성의 마법사,현판,홀로선별,2015-04-23,2016-12-12,368,21,14,6.9,NaverSeries
5253,쾌검왕,무협,임영기,2013-03-29,2013-03-29,6,11,9,6.9,NaverSeries
5254,공간의 절대자,판타지,천수무객,2012-04-26,2012-04-26,6,12,7,6.5,NaverSeries
5255,정령사 네이아르,판타지,레몬크림스튜,2015-03-12,2017-01-11,218,205,33,7.8,NaverSeries
5256,풍류운산,무협,남운,2015-10-22,2015-10-22,15,1,0,4.8,NaverSeries
5257,미토스,판타지,기천검,2015-01-07,2015-01-07,27,23,11,5.5,NaverSeries
5258,던전 헌터,판타지,신아람,2014-07-02,2014-12-23,104,9,20,6.2,NaverSeries
5259,검혼,무협,글바랑모야,2013-07-10,2013-07-10,5,8,2,6.9,NaverSeries
5260,템페스트,로판,깡다케이,2014-06-24,2014-10-28,7,23,23,6.9,NaverSeries
5261,차아제국 열애사,로판,정연주,2014-06-20,2014-06-20,3,14,49,8.6,NaverSeries
5262,무영검(無影劍),무협,범향,2016-08-25,2017-01-12,9,14,25,6.9,NaverSeries
5263,다시 한 번만 사랑해,로맨스,조씽,2015-11-16,2015-11-16,32,47,55,9.5,NaverSeries
5264,혼돈의 정령왕,판타지,강대렬,2011-06-10,2011-06-10,5,42,27,7.6,NaverSeries
5265,루스전기 (군대리아 땡보직),판타지,고주진,2015-03-11,2015-08-11,24,10,13,5.7,NaverSeries
5266,레드 클라우드,판타지,한세,2014-04-14,2014-04-14,30,7,15,6.3,NaverSeries
5267,열애,로맨스,국희,2014-03-06,2014-03-06,59,27,29,8.2,NaverSeries
5268,신부,로맨스,최은경,2013-05-15,2013-05-15,2,64,135,8.6,NaverSeries
5269,운명(푸른팔찌),로판,신이경,2017-02-03,2017-03-10,107,14,28,8.7,NaverSeries
5270,불량의원(광풍석권),무협,동윤,2015-08-03,2015-08-03,7,10,7,5.2,NaverSeries
5271,산서제일가,무협,남운,2014-07-11,2015-01-22,8,13,7,2.7,NaverSeries
5272,금강불괴(개정판),무협,좌백,2014-10-02,2014-10-02,4,11,19,7.7,NaverSeries
5273,더블커넥션,판타지,정성민,2014-09-23,2014-09-23,27,18,7,5.9,NaverSeries
5274,철혈마검(鐵血魔劍),무협,용우,2018-02-05,2018-02-05,7,21,6,8.4,NaverSeries
5275,네크로맨서,판타지,권태용,2014-04-14,2014-04-14,21,18,11,7.1,NaverSeries
5276,슈퍼엘리트 김병장,현판,원창호,2014-07-02,2014-07-02,8,10,5,6.6,NaverSeries
5277,이르나크의 장,판타지,최정연,2012-12-26,2012-12-26,9,73,30,7.8,NaverSeries
5278,무적가주,무협,편광,2016-05-18,2016-05-18,6,14,10,5.1,NaverSeries
5279,빅토리안 레이디,로맨스,호리이,2015-11-05,2016-03-29,45,9,40,9.0,NaverSeries
5280,대도&황제,판타지,데우스,2014-07-11,2015-04-07,8,24,24,4.6,NaverSeries
5281,투신,무협,김강현,2014-12-01,2014-12-01,21,21,18,6.8,NaverSeries
5282,재벌 2세,현판,네르가시아,2014-06-11,2014-06-11,7,15,17,4.0,NaverSeries
5283,나비의 주인,로판,이플,2016-01-11,2016-07-25,138,16,38,8.6,NaverSeries
5284,방랑자,판타지,박동신,2014-10-28,2014-10-28,18,5,6,5.2,NaverSeries
5285,군주의 귀환,판타지,낙랑객,2016-05-02,2017-12-12,120,27,28,5.7,NaverSeries
5286,한가상,판타지,노력형사람,2016-04-18,2016-04-18,7,28,14,4.5,NaverSeries
5287,무한의 강화사,판타지,오렌,2017-08-22,2017-08-22,12,41,16,6.3,NaverSeries
5288,그와 그녀의 비밀,로판,마루함,2017-04-11,2017-04-11,139,19,30,8.8,NaverSeries
5289,최교수와 로맨스,로맨스,오륜영,2014-09-02,2014-12-01,65,35,55,9.0,NaverSeries
5290,당신이 나를 부르면,로맨스,송자림,2014-09-02,2014-09-02,2,34,68,9.2,NaverSeries
5291,묵검질풍록,무협,곽운,2014-06-10,2014-06-10,6,4,3,5.7,NaverSeries
5292,"유혹, 그 치명적인",로맨스,여니,2016-01-13,2016-02-02,60,15,53,8.4,NaverSeries
5293,운을 부른 사나이,현판,무람,2016-01-18,2016-09-26,223,19,13,4.6,NaverSeries
5294,얼라이브,판타지,노쓰우드,2015-08-27,2015-08-27,8,47,33,6.2,NaverSeries
5295,선검,무협,유재무,2017-06-20,2018-10-23,397,33,19,9.5,NaverSeries
5296,내 여자의 첫사랑,로맨스,이예진,2015-03-13,2015-05-04,55,4,14,8.1,NaverSeries
5297,시대의 지배자,판타지,김병재,2013-07-29,2013-07-29,6,9,7,4.3,NaverSeries
5298,더 라스트,판타지,장백산,2014-06-10,2014-06-10,7,6,8,6.1,NaverSeries
5299,백수지왕(百獸之王),무협,백미(白眉),2016-08-19,2016-12-12,80,22,23,7.6,NaverSeries
5300,라이언 전기,판타지,무명선생,2014-09-16,2014-09-16,7,19,4,7.9,NaverSeries
5301,허리케인(Hurricane),판타지,박재학,2012-06-15,2012-06-15,10,11,3,6.2,NaverSeries
5302,일월광륜,무협,성상현,2014-06-10,2014-06-10,7,21,14,7.1,NaverSeries
5303,러브리스(Loveless),로판,권새나,2014-04-10,2014-04-10,8,35,30,8.3,NaverSeries
5304,오늘만 사랑한다는 거짓말,로맨스,남궁현,2016-09-26,2016-09-26,2,170,257,9.6,NaverSeries
5305,흑접귀환,무협,박선,2011-10-25,2011-10-25,7,12,10,6.8,NaverSeries
5306,효우,무협,김한승,2015-09-01,2015-09-01,15,9,7,5.1,NaverSeries
5307,패도군림,무협,몽연,2015-03-18,2015-03-18,6,8,22,7.6,NaverSeries
5308,신투검신,무협,백암,2013-06-13,2013-06-13,5,5,1,5.5,NaverSeries
5309,아이덴의 비밀,로판,사람풍경,2016-10-19,2016-10-19,85,21,55,8.0,NaverSeries
5310,신림동 블루스 - 그들이 사랑하는 法,로맨스,김효우,2014-06-16,2014-08-11,30,20,31,8.2,NaverSeries
5311,조선왕비 간택사건,로맨스,월우,2016-12-19,2016-12-19,84,71,163,9.2,NaverSeries
5312,"검성, 환생하다!",판타지,막달라이,2016-11-07,2016-11-28,226,70,22,3.8,NaverSeries
5313,요희,로판,주연우,2016-03-22,2016-03-22,5,17,53,7.7,NaverSeries
5314,광풍가도,무협,서현,2014-11-27,2014-11-27,6,9,21,7.0,NaverSeries
5315,마도천하,무협,박현,2013-05-09,2013-05-09,8,6,8,6.6,NaverSeries
5316,야차전기,무협,임영기,2015-02-26,2016-02-10,175,7,8,5.8,NaverSeries
5317,3.3.3 연애 법칙,로맨스,소노율,2014-06-02,2014-10-23,156,7,33,8.3,NaverSeries
5318,나 혼자 9서클 마법사,판타지,아르케,2017-04-06,2017-05-15,129,52,10,7.2,NaverSeries
5319,꿈속의 여인,로맨스,지지아,2015-03-18,2015-07-15,59,5,37,8.9,NaverSeries
5320,실명천하,무협,서효원,2016-09-09,2016-09-09,6,5,7,8.0,NaverSeries
5321,아그레망,현판,남운,2014-04-01,2014-11-10,10,7,6,4.4,NaverSeries
5322,이계 제일 건 스미스,판타지,진사림,2017-02-27,2017-07-30,200,108,64,5.9,NaverSeries
5323,가문의 주인,판타지,정은호,2015-01-12,2015-01-12,10,26,38,6.1,NaverSeries
5324,소울퓨전,판타지,박현수,2014-01-22,2014-01-22,8,11,7,6.7,NaverSeries
5325,팔황지로,무협,단극,2013-08-09,2013-08-09,5,4,3,6.7,NaverSeries
5326,우아한도둑의 엉뚱한 프로포즈,로맨스,최연,2016-04-05,2016-04-05,88,31,54,7.8,NaverSeries
5327,마왕의 노래,현판,일월랑,2014-07-11,2014-12-22,41,30,63,7.8,NaverSeries
5328,"천마님, 부활하셨도다",무협,정영교,2016-10-24,2017-09-19,303,25,19,5.7,NaverSeries
5329,카니안의 용자,판타지,오렌,2013-12-24,2014-10-31,10,20,21,6.0,NaverSeries
5330,신비한 접속,판타지,문형기,2014-04-01,2014-08-04,8,15,6,4.8,NaverSeries
5331,수호대제,무협,대린,2016-08-26,2016-08-26,6,20,24,6.0,NaverSeries
5332,룰 브레이커,현판,고두열,2015-06-24,2015-06-24,6,14,15,6.9,NaverSeries
5333,마도서생,무협,우보,2014-06-10,2014-06-10,8,7,16,6.6,NaverSeries
5334,월영문,무협,한담,2015-03-17,2015-03-17,7,6,12,5.9,NaverSeries
5335,레드 크로니클,판타지,김현우,2015-09-24,2015-09-24,14,27,20,6.0,NaverSeries
5336,멋지게 살자,현판,장취산,2013-10-16,2013-10-16,8,10,2,5.5,NaverSeries
5337,신선 이계 정벌기,판타지,카르마이,2011-08-04,2011-08-04,8,30,10,4.9,NaverSeries
5338,갈증,로맨스,독고마리,2014-11-10,2014-12-25,51,16,25,9.1,NaverSeries
5339,그림자 신부,로맨스,레인리,2016-04-29,2017-05-22,57,2,9,7.6,NaverSeries
5340,무림통천자,무협,정건,2014-06-20,2015-09-04,7,7,11,5.7,NaverSeries
5341,사사우사,무협,항상,2015-03-23,2015-03-23,6,25,16,7.8,NaverSeries
5342,흑풍구,무협,송진용,2014-03-25,2014-03-25,5,5,22,7.7,NaverSeries
5343,스탠 바이 미,로맨스,황나연,2014-03-17,2014-03-17,2,23,14,7.3,NaverSeries
5344,다른 세상의 남자 오로라,로맨스,한규령,2014-01-20,2014-01-20,1,53,94,8.4,NaverSeries
5345,악마전기,무협,백천유,2015-07-10,2015-07-10,7,102,38,8.3,NaverSeries
5346,공주를 훔치다,로맨스,예규연,2015-01-13,2015-02-04,47,21,33,9.2,NaverSeries
5347,카나,판타지,허준범,2011-11-24,2011-11-24,9,8,1,5.6,NaverSeries
5348,천하제일 호위무사,무협,이민우,2014-02-03,2014-02-03,5,11,7,6.7,NaverSeries
5349,폭뢰신창,무협,이주용,2018-03-29,2018-03-29,6,11,4,7.2,NaverSeries
5350,생존록,판타지,홍준성,2013-10-10,2013-10-10,5,27,5,6.9,NaverSeries
5351,친애하는 나의 적,현판,한상운,2014-08-06,2014-09-13,34,19,44,9.0,NaverSeries
5352,나는 신화다,현판,Otello,2017-01-19,2017-01-19,8,30,17,3.9,NaverSeries
5353,간격,로맨스,이둘희,2017-01-17,2017-01-17,2,41,64,8.8,NaverSeries
5354,선(瑄)왕조의 막내 옹주,로맨스,김나래,2013-12-17,2014-06-19,116,6,11,7.0,NaverSeries
5355,극양극혈,무협,유진산,2015-08-26,2015-08-26,15,10,1,5.2,NaverSeries
5356,혈왕전생,판타지,정은호,2015-07-30,2015-07-30,7,23,34,6.8,NaverSeries
5357,쾌남 전설,현판,요수해인,2015-01-05,2015-01-05,9,13,36,6.9,NaverSeries
5358,심득의 레이드,현판,장성필,2017-12-20,2018-01-10,151,16,3,6.2,NaverSeries
5359,헤론의 영주,판타지,한우리,2012-03-23,2012-03-23,5,16,6,5.8,NaverSeries
5360,한 녀석 BL,로맨스,주황연,2016-04-18,2016-08-22,59,29,27,9.3,NaverSeries
5361,무명서생,무협,건아성,2014-04-18,2014-04-18,7,14,18,7.8,NaverSeries
5362,영환록,현판,일곱글자,2016-10-31,2017-08-08,195,75,45,8.2,NaverSeries
5363,진호전기,무협,임홍준,2011-06-10,2011-06-10,8,19,5,7.6,NaverSeries
5364,살황,무협,글작소,2014-07-07,2018-04-06,8,28,31,7.9,NaverSeries
5365,이것이 나의 힘이다,현판,더 페이서,2018-01-31,2018-01-31,8,14,10,6.5,NaverSeries
5366,꿈의 찬가,현판,정한담,2014-07-24,2014-07-24,5,17,10,6.6,NaverSeries
5367,아찔한 만남 오로라,로맨스,조이혜,2014-01-21,2014-01-21,2,58,99,9.1,NaverSeries
5368,그락서스의 군주,판타지,곰룡,2014-06-20,2014-06-20,7,9,15,4.3,NaverSeries
5369,가면의 용병왕,판타지,류지혁,2012-10-08,2012-10-08,6,11,30,7.4,NaverSeries
5370,내공무적,무협,그림자 무사,2012-08-29,2012-08-29,6,5,2,6.3,NaverSeries
5371,회귀에서 클리어까지,판타지,블루필드,2017-06-22,2020-11-17,400,211,36,8.8,NaverSeries
5372,귀환사신전 : 그녀의 최종병기,무협,가람휘,2014-06-23,2014-06-23,12,15,31,6.9,NaverSeries
5373,슬픈 인연,로맨스,허시사랑(최현자),2011-06-10,2011-06-10,1,19,24,8.7,NaverSeries
5374,무당 태극검,무협,한유림,2015-04-01,2015-04-01,5,7,18,7.8,NaverSeries
5375,마법무적,판타지,나무,2014-06-10,2014-06-10,7,14,12,6.6,NaverSeries
5376,적반하장 연애전쟁,로맨스,꿈꾸는이,2017-05-30,2017-06-21,102,98,55,7.6,NaverSeries
5377,귀환용병 이환성,판타지,거통,2016-12-22,2017-01-27,156,34,4,4.5,NaverSeries
5378,하가 : 아궁의 꽃,로맨스,박미정,2016-06-30,2016-06-30,3,13,30,8.1,NaverSeries
5379,서랍을 열다,로맨스,신이봄,2014-06-27,2014-06-27,160,68,43,9.7,NaverSeries
5380,철혈의선,무협,진필명,2015-04-02,2015-04-02,7,9,9,6.2,NaverSeries
5381,나의 강선생님,로맨스,라조이,2017-05-06,2017-05-06,5,6,17,9.2,NaverSeries
5382,타워 심고 우주방어,현판,이희호,2016-03-17,2016-06-14,175,17,9,7.1,NaverSeries
5383,칼,무협,권용찬,2017-08-22,2017-08-22,7,8,11,7.4,NaverSeries
5384,강호제일비검,무협,수라백,2016-01-25,2016-01-25,6,14,9,4.8,NaverSeries
5385,진진무림전,무협,한은솔,2014-11-17,2014-11-17,5,10,9,6.1,NaverSeries
5386,대설,무협,서효원,2011-06-10,2011-06-10,5,7,7,8.0,NaverSeries
5387,오! 나의 정령퀸들,판타지,신비한,2016-12-12,2016-12-12,275,103,27,3.4,NaverSeries
5388,나의 밸런타인 개정판,로맨스,블 루 스 카 이,2016-03-04,2023-07-24,153,2,32,9.5,NaverSeries
5389,최강 영주 만들기,판타지,박천웅,2015-06-29,2015-10-12,170,23,17,6.0,NaverSeries
5390,로열로더,판타지,이희호,2015-03-24,2015-06-05,21,14,9,6.6,NaverSeries
5391,미녀와 야수,로맨스,류향(오렌지향기),2014-08-06,2014-08-06,1,60,120,8.9,NaverSeries
5392,귀리지,현판,권태용,2014-05-08,2014-05-08,6,37,22,8.0,NaverSeries
5393,스틸 라이프,판타지,zaksalking,2017-01-16,2018-02-01,451,79,37,7.2,NaverSeries
5394,촉촉한 당신,로맨스,정경하,2016-12-19,2016-12-19,93,14,63,8.9,NaverSeries
5395,창업의 신,현판,정현우,2016-11-16,2016-12-16,150,31,17,6.7,NaverSeries
5396,다크 히어로,판타지,홀로선별,2011-06-10,2011-06-10,9,20,2,5.7,NaverSeries
5397,군신마법사,판타지,이광섭,2013-10-22,2013-10-22,9,18,6,6.7,NaverSeries
5398,굳이 사랑하지 않아도 좋다,로맨스,김지안(아이린),2012-05-17,2012-05-17,1,51,44,8.4,NaverSeries
5399,피아간,로맨스,송자림,2015-11-24,2015-11-24,2,53,103,9.4,NaverSeries
5400,참공무적 개정판,무협,일성,2016-03-24,2016-03-24,5,3,18,7.3,NaverSeries
5401,신분상승가속자,현판,철갑자라,2016-07-18,2016-10-17,151,35,5,6.3,NaverSeries
5402,축구 황제의 귀환,현판,정한담,2017-09-27,2018-04-09,308,28,7,7.9,NaverSeries
5403,소울드라이브,판타지,김훈(엽사),2014-04-24,2014-04-24,10,25,18,7.6,NaverSeries
5404,은호 이야기,로판,하루가,2012-04-06,2012-04-06,1,44,14,8.7,NaverSeries
5405,달빛,로맨스,이서형(라니),2012-01-20,2012-01-20,1,26,89,8.6,NaverSeries
5406,너를 찍다,로맨스,유르♡,2015-03-20,2015-10-15,149,8,23,8.6,NaverSeries
5407,주인공은 나다,현판,건우,2014-06-11,2014-06-11,5,3,4,5.1,NaverSeries
5408,그녀와 복하세요,로맨스,코코페리,2014-04-10,2014-04-10,3,36,39,8.2,NaverSeries
5409,카르탄의 여왕(개정판)-카르탄 시리즈 1,로판,이수림,2016-08-25,2016-08-25,105,20,33,8.4,NaverSeries
5410,다크 엠페러,판타지,알슈카,2013-02-19,2013-02-19,8,9,0,3.4,NaverSeries
5411,칠룡문,무협,이재형,2018-02-08,2018-02-08,5,9,3,7.5,NaverSeries
5412,데스게이저,판타지,김민석,2011-12-12,2011-12-12,6,8,2,5.4,NaverSeries
5413,"TITAN, save us",판타지,우명,2016-08-05,2017-04-17,204,57,25,7.7,NaverSeries
5414,진천뇌협,무협,동윤,2015-11-11,2015-11-11,6,16,10,5.8,NaverSeries
5415,스타의 연인,로맨스,송진민,2014-04-22,2015-11-10,44,6,23,8.8,NaverSeries
5416,달수의 전성시대,현판,겨루,2016-03-02,2016-03-02,5,20,5,6.4,NaverSeries
5417,사랑은 아프다,로맨스,허시사랑(최현자),2011-06-10,2011-06-10,2,17,26,8.6,NaverSeries
5418,검황도제,무협,임무성,2014-12-26,2016-06-14,10,3,24,6.0,NaverSeries
5419,제우스 월드,판타지,한서현,2014-03-06,2014-03-06,8,45,10,6.2,NaverSeries
5420,무황 종횡록,현판,이정용,2014-11-17,2014-11-17,7,15,7,5.6,NaverSeries
5421,스페셜리스트,현판,남운,2013-03-05,2013-03-05,8,11,2,5.1,NaverSeries
5422,흑색창기병,판타지,뇌전검,2011-06-10,2011-06-10,8,10,12,7.4,NaverSeries
5423,역천의 발뭉,판타지,산호초,2017-03-20,2017-05-12,252,70,26,7.0,NaverSeries
5424,사장님과 미스 금(개정판),로맨스,라임정원,2013-08-29,2013-08-29,1,73,83,8.5,NaverSeries
5425,유재희의 짙은 사랑 합,로맨스,유재희,2016-12-13,2017-05-29,53,9,112,8.8,NaverSeries
5426,대천산,무협,운중행,2017-03-29,2017-03-29,5,7,4,7.1,NaverSeries
5427,검황기,판타지,열두시,2014-10-27,2015-04-01,61,8,19,6.8,NaverSeries
5428,후궁의 남자,로맨스,진해림,2014-08-06,2014-08-06,2,26,111,8.2,NaverSeries
5429,바론의 군주,판타지,현민,2015-11-06,2015-11-06,24,8,1,5.7,NaverSeries
5430,와룡색,무협,심심상인,2015-04-01,2015-04-01,5,9,3,8.1,NaverSeries
5431,버퍼,현판,이영균,2014-05-13,2014-05-13,7,10,8,5.9,NaverSeries
5432,당문 소공자 당사,무협,박선,2017-03-06,2017-03-12,225,70,16,7.9,NaverSeries
5433,지존의 정석,판타지,방구석슬러거,2015-09-22,2015-09-22,13,31,12,2.5,NaverSeries
5434,대천군,무협,김한승,2014-05-08,2014-05-08,6,5,12,6.2,NaverSeries
5435,21세기 마샬아츠,판타지,미르영,2013-06-12,2013-06-12,7,8,4,5.1,NaverSeries
5436,삼천갑자 동방석 치우천황의 계시,현판,두경,2014-06-03,2014-06-03,10,47,12,4.5,NaverSeries
5437,남천협전,무협,조종호,2014-03-13,2014-03-13,5,9,5,7.1,NaverSeries
5438,바람의 칼날,판타지,산초,2016-08-04,2016-08-04,15,10,7,7.0,NaverSeries
5439,태룡전,무협,김강현,2014-12-01,2014-12-01,24,21,31,6.8,NaverSeries
5440,칠절무제,무협,서현,2014-11-27,2014-11-27,5,11,20,7.1,NaverSeries
5441,광호,무협,삼경우,2017-09-06,2017-09-06,6,8,7,6.8,NaverSeries
5442,죽이고 싶도록,로맨스,가시맘,2016-07-15,2016-08-02,58,3,22,8.2,NaverSeries
5443,북풍,로맨스,최은경,2014-02-13,2014-02-13,2,53,54,8.4,NaverSeries
5444,조연의 파란만장 이야기,로판,jullia107,2016-06-24,2016-08-06,83,11,31,8.0,NaverSeries
5445,절대연금,판타지,신농,2013-02-14,2013-02-14,7,18,14,5.3,NaverSeries
5446,남자 메이드(maid) BL,로맨스,주황연,2015-10-28,2016-02-26,56,7,28,7.8,NaverSeries
5447,천하장주,무협,목염,2014-01-02,2014-01-02,4,12,5,7.2,NaverSeries
5448,우리가 이별한 사이,로맨스,김아희,2016-10-05,2016-10-05,78,19,71,8.2,NaverSeries
5449,더 킹(The King),현판,이태산,2015-09-11,2016-03-31,8,8,7,7.2,NaverSeries
5450,아홉 개의 솥,무협,정건,2015-11-10,2016-01-25,12,18,5,5.7,NaverSeries
5451,석가장,무협,김연호,2015-04-01,2015-04-01,6,14,6,7.6,NaverSeries
5452,무공총람,무협,임하,2014-02-27,2014-02-27,6,16,9,8.4,NaverSeries
5453,암연십삼조(黯然十三組),무협,지화풍,2018-02-05,2018-02-05,6,6,5,8.0,NaverSeries
5454,천 번의 고백,로맨스,소낙연,2017-05-26,2017-05-26,2,88,183,9.5,NaverSeries
5455,십이사도,무협,열해도,2015-04-01,2015-04-01,5,14,4,7.6,NaverSeries
5456,홍염의 여제(女帝),판타지,여정민,2013-12-11,2013-12-11,9,24,13,6.6,NaverSeries
5457,도깨비 형사 장태산,현판,담운,2013-10-04,2013-10-04,7,7,5,6.5,NaverSeries
5458,쉿!비밀이야!,로맨스,네리야,2015-03-05,2015-04-29,68,2,36,9.2,NaverSeries
5459,하이로드,판타지,기천검,2014-09-23,2014-09-23,24,6,6,4.1,NaverSeries
5460,이별금지에관한법률,로맨스,골든애플,2017-04-03,2017-09-13,83,120,461,9.2,NaverSeries
5461,쌍룡겁,무협,고월,2015-05-15,2015-05-15,3,10,10,7.2,NaverSeries
5462,이한무장,무협,한담,2015-03-19,2015-03-19,6,6,43,7.4,NaverSeries
5463,시공귀환록,현판,건(建),2014-12-02,2015-03-10,48,14,11,6.5,NaverSeries
5464,난지사,무협,박성진(금시조),2015-01-07,2015-01-07,9,3,25,6.9,NaverSeries
5465,구직무사,무협,담인,2014-06-23,2014-09-25,5,20,4,6.5,NaverSeries
5466,벽라(碧羅),무협,휘랑군,2016-10-03,2016-12-30,131,15,21,8.1,NaverSeries
5467,묵룡전기,무협,곽운,2014-06-10,2014-06-10,7,5,4,5.8,NaverSeries
5468,상사뱀,로맨스,매니매쉬,2016-07-12,2016-07-12,82,21,59,8.8,NaverSeries
5469,테세나의 영주,판타지,제봉,2015-04-06,2015-04-06,6,26,9,6.3,NaverSeries
5470,왕유고,무협,설봉,2016-12-12,2017-02-08,100,13,5,6.5,NaverSeries
5471,제왕성,무협,서효원,2011-06-10,2011-06-10,5,10,4,7.7,NaverSeries
5472,은퇴살수,무협,이협,2015-03-17,2015-03-17,6,8,11,6.6,NaverSeries
5473,사랑을 완성하는 마지막 2%,로맨스,김랑,2013-02-14,2013-02-14,1,60,42,8.8,NaverSeries
5474,레몬향 바람이 불때,로맨스,블루시연,2016-02-15,2016-03-16,52,18,32,8.9,NaverSeries
5475,차원의 에레미스,판타지,케이츠,2012-06-25,2012-06-25,6,17,2,6.7,NaverSeries
5476,약왕천하,무협,백야,2012-03-02,2012-03-02,8,7,6,7.4,NaverSeries
5477,홍가다방(洪家茶房),판타지,몽몽객,2017-04-17,2017-10-23,276,102,16,7.8,NaverSeries
5478,군림가,판타지,장백산,2014-06-10,2014-06-10,9,9,8,7.1,NaverSeries
5479,지존육성 프로젝트,판타지,고우,2014-01-29,2014-01-29,7,30,5,6.3,NaverSeries
5480,경계를 넘어,로맨스,정경하,2012-10-10,2012-10-10,1,32,74,8.9,NaverSeries
5481,더블 게이트,판타지,최동환,2016-07-06,2020-01-07,501,13,15,5.0,NaverSeries
5482,역전의 변호사,현판,블루피스,2015-09-15,2015-09-15,6,17,8,5.1,NaverSeries
5483,바이발할 연대기,판타지,강무,2011-06-10,2011-06-10,6,23,15,7.3,NaverSeries
5484,모든 것이 아름다울 뿐,로판,탐하다,2017-09-14,2017-09-14,6,36,59,7.9,NaverSeries
5485,흑룡연인(黑龍戀人),로맨스,7월아카이브,2016-12-14,2016-12-14,166,61,58,8.3,NaverSeries
5486,헬파이어,판타지,봉사,2014-07-02,2014-07-02,7,11,15,7.2,NaverSeries
5487,하프 드래곤 타닉,판타지,트롤 케이,2014-05-08,2014-05-08,6,19,6,5.7,NaverSeries
5488,삼족오,무협,임영기,2012-12-28,2012-12-28,8,11,4,6.6,NaverSeries
5489,황후의 하루,로판,호즈니,2014-08-22,2014-08-22,3,15,31,7.8,NaverSeries
5490,검형 체험판,무협,이우형,2015-04-27,2015-04-27,1,2,35,7.9,NaverSeries
5491,블러드 게이트,판타지,가휼,2014-04-16,2014-04-16,5,23,17,7.3,NaverSeries
5492,몽유강호기,무협,송진용,2014-04-01,2014-04-01,6,7,27,7.2,NaverSeries
5493,패왕열전,무협,한가,2013-07-11,2013-07-11,6,8,3,4.2,NaverSeries
5494,한냥 표국,무협,노주일,2016-10-11,2021-07-07,214,11,12,6.9,NaverSeries
5495,천왕 라오,판타지,서정우,2012-06-28,2012-06-28,8,12,0,7.4,NaverSeries
5496,영주 레이샤드,판타지,한승현,2014-01-21,2015-12-11,174,17,17,4.9,NaverSeries
5497,대박천하,판타지,매검향,2015-12-17,2015-12-17,6,14,5,6.2,NaverSeries
5498,어게인 1978,현판,삽자루,2014-06-24,2014-06-24,4,8,16,7.0,NaverSeries
5499,대사자평,판타지,대마선사,2018-01-04,2018-02-27,369,53,13,6.9,NaverSeries
5500,진왕비연,무협,이재형,2018-02-08,2018-02-08,6,6,1,7.4,NaverSeries
5501,외로운 당신의 애인이 되어 드립니다,로맨스,럼,2016-09-07,2016-09-07,66,7,36,8.8,NaverSeries
5502,사랑에 빠지는 시간,로맨스,꿈꾸는이,2016-01-13,2016-02-05,35,50,60,8.3,NaverSeries
5503,대한태제,판타지,지현철,2013-12-13,2013-12-13,6,4,8,6.2,NaverSeries
5504,곤륜재건기,무협,가람휘,2015-04-06,2015-04-06,6,5,4,5.3,NaverSeries
5505,섹시한 연애,로맨스,임세영,2014-06-09,2014-06-09,2,18,29,8.6,NaverSeries
5506,지옥군장 헬조선 입대기,판타지,라디파티,2016-04-29,2016-04-29,8,43,8,4.6,NaverSeries
5507,대형,판타지,철대협,2014-07-02,2014-07-02,12,5,2,5.8,NaverSeries
5508,밤의 대통령,현판,이원호,2012-04-24,2012-04-24,12,6,15,7.9,NaverSeries
5509,레인지 마스터,판타지,김민재,2011-06-10,2011-06-10,7,15,14,7.3,NaverSeries
5510,필드 위의 설계자,현판,오수정,2016-12-14,2017-07-25,220,53,28,5.1,NaverSeries
5511,나린신공,무협,김경민,2017-06-08,2017-06-08,15,11,15,5.6,NaverSeries
5512,칠살,무협,양재희,2014-02-27,2014-10-21,5,16,7,7.5,NaverSeries
5513,모쏠의 연애혁명,로맨스,이현,2017-05-12,2017-05-12,1,24,56,8.5,NaverSeries
5514,헌팅 정령사,현판,THE정현스튜디오 / 묵성,2016-12-14,2017-04-23,226,57,28,6.3,NaverSeries
5515,사상 최강의 군주,판타지,브라키오,2017-04-05,2017-05-18,150,277,72,7.7,NaverSeries
5516,신마기협,무협,지화풍,2018-01-24,2018-01-24,6,7,3,7.6,NaverSeries
5517,현대초인,현판,고려의검,2016-10-14,2016-10-14,11,36,21,4.0,NaverSeries
5518,무사곽우,무협,참마도,2015-07-30,2015-07-30,6,3,8,6.9,NaverSeries
5519,장왕 곤,무협,박재영,2014-11-05,2015-01-09,126,6,10,5.9,NaverSeries
5520,백 허그,로맨스,임초해,2014-01-03,2014-04-25,68,47,15,8.2,NaverSeries
5521,몬스터로드,판타지,권태용,2014-04-02,2014-04-02,30,21,12,6.9,NaverSeries
5522,유혹 게임,로맨스,문현주,2013-01-07,2013-01-07,1,61,122,8.6,NaverSeries
5523,지존석산평전,무협,김현진(김대산),2012-12-24,2012-12-24,5,7,9,6.8,NaverSeries
5524,나노 마신(喇勞 魔神),무협,한중월야,2018-04-19,2018-05-30,51,633,117,8.7,NaverSeries
